draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,sigma
2919,1889.4981836806462,1.0,0.02347331351994421,2.0,3.0,0.0,-1888.2079182994235,0.023428284592611537,0.2990923698402058,0.6685308691684313,0.09358172437931013
2920,1886.8870139019832,0.81999496567292,0.021264886404270496,6.0,63.0,0.0,-1885.1864726722238,0.00869254687878736,0.33429525827757167,0.6359509801896848,0.0868772540542239
2921,1889.7781140220377,0.9869968247015503,0.021765770852745368,7.0,255.0,0.0,-1888.3289580408775,0.029816857408657957,0.3322209151410602,0.6333623997861337,0.09288341728723645
2922,1888.168819381328,0.9962752289225499,0.022577872639330785,6.0,119.0,0.0,-1886.4664056768256,0.04980748284281863,0.32313932957322494,0.6374344934239322,0.09265751294807002
2923,1889.9538627199915,0.9946431109468884,0.02347331351994421,7.0,127.0,0.0,-1888.985558546718,0.04450986077784249,0.30325498769290377,0.657982554370772,0.09321192813187483
2924,1887.5468320469652,0.7512288069844721,0.021264886404270496,4.0,31.0,0.0,-1884.3481978275836,0.00953617449638202,0.3313837937602086,0.638902187406259,0.08719830147904178
2925,1889.019093696233,0.9802694885477684,0.021765770852745368,7.0,127.0,0.0,-1887.6364578669,0.04369122154053703,0.331002633486534,0.6287674334411807,0.09183962492644353
2926,1889.9581473300025,0.8159723159139187,0.022577872639330785,6.0,83.0,0.0,-1884.4924157781056,0.01992249947746519,0.32126024983041684,0.6464069838437153,0.09343866792351081
2927,1887.449558033679,0.9655371393615428,0.02347331351994421,7.0,255.0,0.0,-1886.0642054671705,0.06892897711479606,0.257098582549204,0.6970078197642376,0.09234977414867603
2928,1887.1066906956617,0.9998336534051344,0.021264886404270496,7.0,191.0,0.0,-1886.3191800696472,0.055444741016511714,0.29242184736337956,0.6661662318739854,0.09624192048710001
2929,1886.570420270214,0.9993965544170668,0.021765770852745368,6.0,79.0,0.0,-1883.5315172118612,-0.022951451272393834,0.33747434424243755,0.6430780783715633,0.09210618985325832
2930,1890.042434777963,0.9975306120484453,0.022577872639330785,6.0,127.0,0.0,-1888.2291765790012,0.010558268122080565,0.33159083731442585,0.6391109067741123,0.09069676124260427
2931,1887.6619561874188,0.8480794159466007,0.02347331351994421,7.0,255.0,0.0,-1883.8566544037994,0.03685018217988326,0.29556709257883895,0.666645727328323,0.08797761602858505
2932,1889.1692361293674,0.9902868994379382,0.021264886404270496,7.0,255.0,0.0,-1883.6689783017164,0.048018359215557554,0.33238752559768087,0.6270129029215581,0.09264952556128088
2933,1888.4964378618633,0.9965145808358222,0.021765770852745368,7.0,255.0,0.0,-1885.1823208895564,0.004608861482770748,0.3635896166728273,0.6084150061827022,0.09354880110779752
2934,1889.6388212133716,0.9997296274144087,0.022577872639330785,7.0,127.0,0.0,-1889.1438889414237,0.04837528030507583,0.3254003592833856,0.6340171872931707,0.09120553419932957
2935,1887.1740024304133,0.8723695070444593,0.02347331351994421,7.0,127.0,0.0,-1883.8595878166402,0.025340648211894856,0.33434966328698557,0.630526427757329,0.0959485539926018
2936,1889.4930321008494,0.9771130282869265,0.021264886404270496,7.0,255.0,0.0,-1887.6324674768493,0.025699982428305474,0.3426014126254895,0.6236244694267534,0.08944746997174637
2937,1889.40132016604,0.9413293874935317,0.021765770852745368,7.0,187.0,0.0,-1886.0760599531552,0.023235716032749598,0.3301984331434583,0.6375355071515306,0.09358720404119737
2938,1889.8768254770794,0.9999364990500577,0.022577872639330785,6.0,127.0,0.0,-1889.2295455821093,0.046356847649174464,0.3230178163966377,0.6371401542551329,0.09092837124424569
2939,1888.09747344666,0.9254306148892121,0.02347331351994421,7.0,127.0,0.0,-1885.450922342332,0.041162252928128466,0.31229842958268345,0.6486323023759486,0.08781145391918012
2940,1889.722822843524,1.0,0.021264886404270496,7.0,127.0,0.0,-1889.2805505456731,0.031437649228257224,0.34006185905739733,0.6244477112055739,0.09006151458132576
2941,1888.7916337334573,0.9577831682855291,0.021765770852745368,7.0,135.0,0.0,-1887.5622217524706,0.030390719793959773,0.3025232825208433,0.664055714962383,0.08969596774176775
2942,1889.8120636202214,0.9756554904359325,0.022577872639330785,7.0,191.0,0.0,-1888.837933117027,0.05136716778586035,0.3078417995841818,0.6516177702800147,0.09161043645888645
2943,1889.0608506501408,0.947131817301792,0.02347331351994421,7.0,127.0,0.0,-1886.4359780771797,0.05302702073149457,0.310780202840518,0.6485689537801274,0.0927600576712764
2944,1889.4436071022315,0.9995423502283249,0.021264886404270496,7.0,127.0,0.0,-1888.9628098387757,0.005020573601544697,0.3481223529347579,0.623996779553843,0.0903440622847796
2945,1888.8783602457463,0.9811346016491153,0.021765770852745368,8.0,255.0,0.0,-1886.9400483385175,0.022533387916573926,0.34610017629891215,0.6193723101113651,0.09098779448803421
2946,1889.7112989325433,0.9995492489324286,0.022577872639330785,7.0,207.0,0.0,-1888.4220440114157,0.048356180456126815,0.28072851614179245,0.6796322867330602,0.09174131735904528
2947,1889.9534170554412,0.9894729165660329,0.02347331351994421,7.0,127.0,0.0,-1888.4841139884356,0.03634875538045048,0.315027062671771,0.6488914325394863,0.0898668295645058
2948,1889.4436071022315,0.6074680679783047,0.021264886404270496,1.0,3.0,0.0,-1887.508075245373,0.005020573601544697,0.3481223529347579,0.623996779553843,0.0903440622847796
2949,1888.3250387629198,0.9964610744385282,0.021765770852745368,7.0,127.0,0.0,-1886.8557283137036,0.03619988084225661,0.3370497700337159,0.6251434894960685,0.09486760216607336
2950,1888.7648859187261,0.9980248157894467,0.022577872639330785,7.0,255.0,0.0,-1887.064502706571,0.039930834032439765,0.3000114442958044,0.6626163279722295,0.09524492208884659
2951,1889.9002727064667,0.9953281088925562,0.02347331351994421,7.0,127.0,0.0,-1889.4543342364482,0.015268902993849212,0.33867608710859226,0.6301608710390154,0.09306294753066666
2952,1888.8325018837543,0.963103961271597,0.021264886404270496,7.0,127.0,0.0,-1888.1930800886362,0.01930270447615295,0.36403544706775004,0.6029044638130032,0.09164742341650496
2953,1887.7261252678284,0.9586114659858632,0.021765770852745368,8.0,255.0,0.0,-1885.232636235198,0.0307268058798454,0.2763074522392097,0.6904500335178584,0.09364966441078448
