draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,beta.3,sigma
1608,12059.139124787089,0.9879165971252645,0.02320372495041992,7.0,191.0,0.0,-12057.749966922453,-0.2533123911585845,0.7074405532981834,0.2890910919458755,0.3184309050963107,0.1337464097003076
1609,12056.367347278292,0.9997279263464924,0.027567250146182155,7.0,127.0,0.0,-12053.960028485159,-0.2583498966301441,0.7313374368374322,0.2677612218290878,0.3102397184503572,0.13418297930988005
1610,12053.80651404545,0.9785432631192288,0.025731010478064465,7.0,127.0,0.0,-12052.650459472548,-0.21666753566001326,0.679491992310158,0.3067856500012774,0.31610711106257117,0.13461984765008422
1611,12058.6333514591,0.9999958042281745,0.027611744434291367,7.0,127.0,0.0,-12056.183469070029,-0.2623071172770278,0.7143473003402512,0.28489983020456183,0.3158689691741811,0.134238388900402
1612,12058.051078666991,0.9474592097925189,0.02320372495041992,7.0,127.0,0.0,-12057.016674013308,-0.25905961989396475,0.7088411070222671,0.2897329207746236,0.3149866924672406,0.13578382514338053
1613,12055.51736094728,0.9219117048438503,0.027567250146182155,7.0,127.0,0.0,-12050.069548112651,-0.2632508044453531,0.7073164849500776,0.29163169896050845,0.32620149484741395,0.13494540861554166
1614,12054.709742350247,0.975679538393164,0.025731010478064465,7.0,127.0,0.0,-12052.06915775398,-0.21886124542136995,0.6864552422763224,0.3006553772008028,0.3128048126436328,0.13467589691579146
1615,12055.451956195384,0.8741437288729177,0.027611744434291367,7.0,127.0,0.0,-12054.020858441421,-0.2519422548613977,0.734731723234235,0.26208499938531593,0.30412520847528607,0.1346782423253624
1616,12058.203153812281,0.9896282212374209,0.02320372495041992,7.0,127.0,0.0,-12056.648259336418,-0.24166584549555659,0.7199184160743034,0.27391886259894366,0.3099386653085988,0.1342531452159824
1617,12056.05754666135,0.9943185685102556,0.027567250146182155,7.0,127.0,0.0,-12054.71079127288,-0.23593016492746677,0.6865856397855322,0.3051397127137533,0.3130845218882466,0.13434025192801682
1618,12057.755526010485,0.9983008948497675,0.025731010478064465,7.0,127.0,0.0,-12052.698768910475,-0.24802493344901477,0.7083124246272942,0.28802040243989574,0.31126406966984155,0.13274470438309435
1619,12058.499015762602,0.9955026580344186,0.027611744434291367,7.0,127.0,0.0,-12054.124723643165,-0.23711960519058045,0.6991755710031864,0.2924599469129204,0.31755026957004784,0.13417147250252806
1620,12057.354146686708,0.9528491125356584,0.02320372495041992,7.0,127.0,0.0,-12054.059003049279,-0.26665815048399694,0.7111721415781745,0.28986277444079567,0.31578170598401123,0.13387600461961233
1621,12057.854442425303,0.9468269918359281,0.027567250146182155,7.0,127.0,0.0,-12054.538009140484,-0.2379262638197092,0.6958941541890645,0.29800827322240026,0.30897964701716407,0.13442471649265572
